model_type,mu_GeV,coupling,golden_model,viable_model,testable_model,grb_constraint_passed,uhecr_constraint_passed,max_vacuum_enhancement,vacuum_detectable,max_grb_conversion,hidden_sector_detectable
rainbow_gravity,268269579527972.72,1e-08,False,False,True,False,False,10.900990099010144,True,1.3471597269946626e-33,False
rainbow_gravity,268269579527972.72,1e-06,False,False,True,False,False,10.900990099010144,True,1.3471597269946622e-29,False
rainbow_gravity,268269579527972.72,0.0001,False,False,True,False,False,10.900990099010144,True,1.3471597269946628e-25,False
rainbow_gravity,719685673001152.9,1e-12,False,False,True,False,False,10.900990099009995,True,3.895211404439382e-40,False
rainbow_gravity,719685673001152.9,1e-10,False,False,True,False,False,10.900990099009995,True,1.8718724785810684e-38,False
rainbow_gravity,719685673001152.9,1e-08,False,False,True,False,False,10.900990099009995,True,1.8718724785810685e-34,False
rainbow_gravity,719685673001152.9,1e-06,False,False,True,False,False,10.900990099009995,True,1.8718724785810683e-30,False
rainbow_gravity,719685673001152.9,0.0001,False,False,True,False,False,10.900990099009995,True,1.8718724785810685e-26,False
rainbow_gravity,1930697728883245.8,1e-12,False,False,True,False,False,10.900990099009936,True,3.895211404439382e-40,False
rainbow_gravity,1930697728883245.8,1e-10,False,False,True,False,False,10.900990099009936,True,2.600958231676982e-39,False
rainbow_gravity,1930697728883245.8,1e-08,False,False,True,False,False,10.900990099009936,True,2.600958231676982e-35,False
rainbow_gravity,1930697728883245.8,1e-06,False,False,True,False,False,10.900990099009936,True,2.6009582316769813e-31,False
rainbow_gravity,1930697728883245.8,0.0001,False,False,True,False,False,10.900990099009936,True,2.6009582316769818e-27,False
rainbow_gravity,5179474679231202.0,1e-12,False,False,True,True,False,10.900990099009915,True,3.895211404439382e-40,False
rainbow_gravity,5179474679231202.0,1e-10,False,False,True,True,False,10.900990099009915,True,3.895211404439382e-40,False
rainbow_gravity,5179474679231202.0,1e-08,False,False,True,True,False,10.900990099009915,True,3.614020172383154e-36,False
rainbow_gravity,5179474679231202.0,1e-06,False,False,True,True,False,10.900990099009915,True,3.614020172383153e-32,False
rainbow_gravity,5179474679231202.0,0.0001,False,False,True,True,False,10.900990099009915,True,3.6140201723831537e-28,False
rainbow_gravity,1.389495494373136e+16,1e-12,False,False,True,True,False,10.900990099009908,True,3.895211404439382e-40,False
rainbow_gravity,1.389495494373136e+16,1e-10,False,False,True,True,False,10.900990099009908,True,3.895211404439382e-40,False
rainbow_gravity,1.389495494373136e+16,1e-08,False,False,True,True,False,10.900990099009908,True,5.021660754528841e-37,False
rainbow_gravity,1.389495494373136e+16,1e-06,False,False,True,True,False,10.900990099009908,True,5.021660754528841e-33,False
rainbow_gravity,1.389495494373136e+16,0.0001,False,False,True,True,False,10.900990099009908,True,5.0216607545288414e-29,False
rainbow_gravity,3.7275937203149224e+16,1e-12,False,False,True,True,False,10.900990099009904,True,3.895211404439382e-40,False
rainbow_gravity,3.7275937203149224e+16,1e-10,False,False,True,True,False,10.900990099009904,True,3.895211404439382e-40,False
rainbow_gravity,3.7275937203149224e+16,1e-08,False,False,True,True,False,10.900990099009904,True,6.977593962848778e-38,False
rainbow_gravity,3.7275937203149224e+16,1e-06,False,False,True,True,False,10.900990099009904,True,6.977593962848776e-34,False
rainbow_gravity,3.7275937203149224e+16,0.0001,False,False,True,True,False,10.900990099009904,True,6.977593962848778e-30,False
rainbow_gravity,1e+17,1e-12,False,False,True,True,False,10.900990099009901,True,3.895211404439382e-40,False
rainbow_gravity,1e+17,1e-10,False,False,True,True,False,10.900990099009901,True,3.895211404439382e-40,False
rainbow_gravity,1e+17,1e-08,False,False,True,True,False,10.900990099009901,True,9.695317371238852e-39,False
rainbow_gravity,1e+17,1e-06,False,False,True,True,False,10.900990099009901,True,9.69531737123885e-35,False
rainbow_gravity,1e+17,0.0001,False,False,True,True,False,10.900990099009901,True,9.695317371238855e-31,False
rainbow_gravity,2.6826957952797165e+17,1e-12,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
rainbow_gravity,2.6826957952797165e+17,1e-10,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
rainbow_gravity,2.6826957952797165e+17,1e-08,True,True,True,True,True,10.900990099009901,True,1.3471453627556316e-39,False
rainbow_gravity,2.6826957952797165e+17,1e-06,True,True,True,True,True,10.900990099009901,True,1.3471453627556318e-35,False
rainbow_gravity,2.6826957952797165e+17,0.0001,True,True,True,True,True,10.900990099009901,True,1.347145362755632e-31,False
rainbow_gravity,7.196856730011529e+17,1e-12,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
rainbow_gravity,7.196856730011529e+17,1e-10,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
rainbow_gravity,7.196856730011529e+17,1e-08,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
rainbow_gravity,7.196856730011529e+17,1e-06,True,True,True,True,True,10.900990099009901,True,1.8717339841559632e-36,False
rainbow_gravity,7.196856730011529e+17,0.0001,True,True,True,True,True,10.900990099009901,True,1.8717339841559634e-32,False
