mu_scale_GeV,model,threshold,E_critical_standard_V_per_m,E_critical_polymer_V_per_m,enhancement_factor
29763514416.31313,exponential,-20,29544079988.8038,29544079988.8038,1.0
88586679041.00832,exponential,-20,29544079988.8038,29544079988.8038,1.0
263665089873.03555,exponential,-20,29544079988.8038,29544079988.8038,1.0
784759970351.4623,exponential,-20,29544079988.8038,29544079988.8038,1.0
2335721469090.121,exponential,-20,29544079988.8038,29544079988.8038,1.0
6951927961775.591,exponential,-20,29544079988.8038,29544079988.8038,1.0
20691380811147.902,exponential,-20,29544079988.8038,29544079988.8038,1.0
61584821106602.55,exponential,-20,29544079988.8038,29544079988.8038,1.0
183298071083243.75,exponential,-20,29544079988.8038,29544079988.8038,1.0
545559478116851.44,exponential,-20,29544079988.8038,29544079988.8038,1.0
1623776739188717.5,exponential,-20,29544079988.8038,29544079988.8038,1.0
4832930238571752.0,exponential,-20,29544079988.8038,29544079988.8038,1.0
1.438449888287666e+16,exponential,-20,29544079988.8038,29544079988.8038,1.0
4.281332398719396e+16,exponential,-20,29544079988.8038,29544079988.8038,1.0
1.2742749857031322e+17,exponential,-20,29544079988.8038,29544079988.8038,1.0
3.792690190732238e+17,exponential,-20,29544079988.8038,29544079988.8038,1.0
1.128837891684693e+18,exponential,-20,29544079988.8038,29544079988.8038,1.0
3.359818286283788e+18,exponential,-20,29544079988.8038,29544079988.8038,1.0
1e+19,exponential,-20,29544079988.8038,29544079988.8038,1.0
10000000000.0,exponential,-10,58178800743.449356,58178800743.449356,1.0
29763514416.31313,exponential,-10,58178800743.449356,58178800743.449356,1.0
88586679041.00832,exponential,-10,58178800743.449356,58178800743.449356,1.0
263665089873.03555,exponential,-10,58178800743.449356,58178800743.449356,1.0
784759970351.4623,exponential,-10,58178800743.449356,58178800743.449356,1.0
2335721469090.121,exponential,-10,58178800743.449356,58178800743.449356,1.0
6951927961775.591,exponential,-10,58178800743.449356,58178800743.449356,1.0
20691380811147.902,exponential,-10,58178800743.449356,58178800743.449356,1.0
61584821106602.55,exponential,-10,58178800743.449356,58178800743.449356,1.0
183298071083243.75,exponential,-10,58178800743.449356,58178800743.449356,1.0
545559478116851.44,exponential,-10,58178800743.449356,58178800743.449356,1.0
1623776739188717.5,exponential,-10,58178800743.449356,58178800743.449356,1.0
4832930238571752.0,exponential,-10,58178800743.449356,58178800743.449356,1.0
1.438449888287666e+16,exponential,-10,58178800743.449356,58178800743.449356,1.0
4.281332398719396e+16,exponential,-10,58178800743.449356,58178800743.449356,1.0
1.2742749857031322e+17,exponential,-10,58178800743.449356,58178800743.449356,1.0
